"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2021","91.11","92.73","92.73","90.60","6.42K","-1.81%"
"12/22/2021","92.79","89.04","93.90","89.00","232.15K","3.69%"
"12/21/2021","89.49","90.01","91.00","89.30","30.68K","-1.12%"
"12/20/2021","90.50","89.00","92.00","88.70","66.94K","-1.63%"
"12/19/2021","92.00","90.00","92.79","89.50","32.87K","-0.95%"
"12/16/2021","92.88","89.00","92.88","88.00","50.32K","3.28%"
"12/15/2021","89.93","88.40","91.00","88.40","58.57K","1.67%"
"12/14/2021","88.45","89.00","91.01","88.10","27.28K","-1.68%"
"12/13/2021","89.96","92.50","92.50","73.73","59.96K","-2.39%"
"12/12/2021","92.16","92.50","95.00","91.00","367.51K","-0.09%"
"12/09/2021","92.24","94.97","94.98","91.50","69.30K","-0.67%"
"12/08/2021","92.86","94.45","94.50","92.70","108.34K","-2.23%"
"12/07/2021","94.98","94.55","99.50","92.70","67.80K","-0.86%"
"12/06/2021","95.80","96.00","96.00","94.65","25.68K","-0.21%"
"12/05/2021","96.00","96.95","96.95","93.63","13.06K","1.93%"
"12/02/2021","94.18","96.95","98.00","93.10","8.22K","-1.82%"
"12/01/2021","95.93","92.00","97.50","92.00","104.63K","0.19%"
"11/30/2021","95.75","93.36","95.90","92.60","259.30K","0.84%"
"11/29/2021","94.95","91.30","99.99","91.30","31.66K","1.23%"
"11/28/2021","93.80","91.04","93.80","90.00","16.26K","1.10%"
"11/25/2021","92.78","92.10","95.90","91.21","33.85K","-0.22%"
"11/24/2021","92.98","91.15","93.50","91.15","26.48K","0.19%"
"11/23/2021","92.80","91.36","92.80","90.01","31.18K","0.98%"
"11/22/2021","91.90","92.99","93.00","90.60","79.26K","0.98%"
"11/21/2021","91.01","93.98","104.97","90.10","233.50K","-0.11%"
"11/18/2021","91.11","91.01","93.25","90.05","24.19K","-2.66%"
"11/17/2021","93.60","91.41","94.00","86.00","12.54K","0.74%"
"11/16/2021","92.91","92.50","94.00","91.00","15.59K","0.68%"
"11/15/2021","92.28","90.36","94.00","90.36","5.01K","0.32%"
"11/14/2021","91.99","91.00","95.00","90.55","694.15K","1.09%"
"11/11/2021","91.00","90.40","91.00","87.00","48.50K","1.11%"
"11/10/2021","90.00","88.00","92.99","86.56","130.19K","2.20%"
"11/09/2021","88.06","91.90","94.00","87.01","73.96K","-2.21%"
"11/08/2021","90.05","90.00","91.90","89.11","104.50K","-0.85%"
"11/07/2021","90.82","92.00","95.00","90.00","58.46K","-1.22%"
"11/04/2021","91.94","94.00","95.00","90.00","31.04K","-5.11%"
"11/03/2021","96.89","98.25","98.25","94.75","49.00K","-0.06%"
"11/02/2021","96.95","94.50","100.50","94.00","145.34K","0.99%"
"11/01/2021","96.00","100.00","100.99","95.40","101.77K","-3.02%"
"10/31/2021","98.99","100.00","103.00","95.00","148.25K","-2.86%"
"10/28/2021","101.90","100.50","102.01","99.41","49.49K","-0.10%"
"10/27/2021","102.00","103.95","103.95","100.00","17.94K","-0.91%"
"10/26/2021","102.94","100.22","106.00","100.21","107.29K","-1.02%"
"10/25/2021","104.00","104.44","105.00","100.00","129.51K","0.33%"
"10/24/2021","103.66","100.00","104.00","100.00","323.36K","3.66%"
"10/20/2021","100.00","97.97","102.00","93.80","111.24K","5.78%"
"10/19/2021","94.54","96.98","97.99","92.05","103.68K","-0.62%"
"10/18/2021","95.13","95.50","97.00","94.70","29.14K","-1.93%"
"10/17/2021","97.00","98.00","98.00","93.71","9.29K","0.07%"
"10/14/2021","96.93","98.50","98.50","95.50","84.38K","-0.57%"
"10/13/2021","97.49","93.00","98.00","93.00","179.67K","2.78%"
"10/12/2021","94.85","94.90","95.00","93.01","174.10K","1.02%"
"10/11/2021","93.89","93.00","94.98","92.73","70.48K","0.96%"
"10/10/2021","93.00","92.01","93.00","90.00","132.50K","2.81%"
"10/06/2021","90.46","90.00","90.99","89.98","13.30K","1.49%"
"10/05/2021","89.13","90.50","93.50","89.00","121.34K","0.15%"
"10/04/2021","89.00","89.90","90.50","89.00","15.28K","0.29%"
